product_id,category,brand,cost,base_price,current_price,competitor_price_1,competitor_price_2,inventory_level,sales_velocity,seasonality_factor,promotion_flag,date
P001,Electronics,TechBrand,350.00,499.99,499.99,519.99,489.99,120,5.2,1.0,0,2025-01-01
P001,Electronics,TechBrand,350.00,499.99,489.99,509.99,479.99,115,6.1,1.0,0,2025-01-02
P001,Electronics,TechBrand,350.00,499.99,489.99,509.99,479.99,109,6.0,1.0,0,2025-01-03
P001,Electronics,TechBrand,350.00,499.99,479.99,499.99,479.99,103,7.2,1.0,0,2025-01-04
P001,Electronics,TechBrand,350.00,499.99,479.99,499.99,469.99,96,7.0,1.0,0,2025-01-05
P001,Electronics,TechBrand,350.00,499.99,459.99,489.99,469.99,89,8.5,1.0,1,2025-01-06
P001,Electronics,TechBrand,350.00,499.99,459.99,489.99,469.99,80,9.0,1.0,1,2025-01-07
P001,Electronics,TechBrand,350.00,499.99,479.99,489.99,469.99,71,8.4,1.0,0,2025-01-08
P001,Electronics,TechBrand,350.00,499.99,479.99,499.99,469.99,63,8.0,1.0,0,2025-01-09
P001,Electronics,TechBrand,350.00,499.99,499.99,509.99,479.99,55,6.2,1.0,0,2025-01-10
P001,Electronics,TechBrand,350.00,499.99,499.99,509.99,489.99,49,5.5,1.0,0,2025-01-11
P001,Electronics,TechBrand,350.00,499.99,489.99,499.99,489.99,43,6.3,1.0,0,2025-01-12
P001,Electronics,TechBrand,350.00,499.99,489.99,499.99,479.99,37,6.4,1.0,0,2025-01-13
P001,Electronics,TechBrand,350.00,499.99,479.99,489.99,479.99,30,7.5,1.0,0,2025-01-14
P001,Electronics,TechBrand,350.00,499.99,479.99,489.99,469.99,23,7.0,1.0,0,2025-01-15
P002,Clothing,FashionCo,25.00,59.99,59.99,64.99,62.99,200,8.7,1.2,0,2025-01-01
P002,Clothing,FashionCo,25.00,59.99,59.99,62.99,59.99,191,9.0,1.2,0,2025-01-02
P002,Clothing,FashionCo,25.00,59.99,54.99,62.99,59.99,182,10.5,1.2,1,2025-01-03
P002,Clothing,FashionCo,25.00,59.99,54.99,59.99,59.99,171,11.0,1.2,1,2025-01-04
P002,Clothing,FashionCo,25.00,59.99,54.99,59.99,57.99,160,11.2,1.2,1,2025-01-05
P002,Clothing,FashionCo,25.00,59.99,59.99,62.99,57.99,149,9.8,1.2,0,2025-01-06
P002,Clothing,FashionCo,25.00,59.99,59.99,62.99,59.99,139,9.5,1.2,0,2025-01-07
P002,Clothing,FashionCo,25.00,59.99,59.99,64.99,59.99,130,9.0,1.2,0,2025-01-08
P002,Clothing,FashionCo,25.00,59.99,57.99,62.99,59.99,121,9.7,1.2,0,2025-01-09
P002,Clothing,FashionCo,25.00,59.99,57.99,59.99,57.99,111,10.0,1.2,0,2025-01-10
P003,Home,HomeLux,120.00,199.99,199.99,209.99,204.99,50,3.2,0.9,0,2025-01-01
P003,Home,HomeLux,120.00,199.99,199.99,209.99,199.99,47,3.0,0.9,0,2025-01-02
P003,Home,HomeLux,120.00,199.99,189.99,199.99,199.99,44,3.5,0.9,0,2025-01-03
P003,Home,HomeLux,120.00,199.99,189.99,199.99,189.99,40,4.0,0.9,0,2025-01-04
P003,Home,HomeLux,120.00,199.99,179.99,189.99,189.99,36,4.8,0.9,1,2025-01-05
P003,Home,HomeLux,120.00,199.99,179.99,189.99,184.99,31,5.0,0.9,1,2025-01-06
P003,Home,HomeLux,120.00,199.99,179.99,194.99,184.99,26,4.9,0.9,1,2025-01-07
P003,Home,HomeLux,120.00,199.99,189.99,199.99,189.99,21,4.2,0.9,0,2025-01-08
P003,Home,HomeLux,120.00,199.99,189.99,199.99,194.99,17,4.0,0.9,0,2025-01-09
P003,Home,HomeLux,120.00,199.99,199.99,209.99,194.99,13,3.3,0.9,0,2025-01-10
